Title,Genre,Release date,Metascore,N. Critics,User Score,N. Users,Developer,Publisher
Knights and Bikes,Action Adventure,"Aug 27, 2019",79,26,7.1,57,Foam Sword,Double Fine Productions
The Banner Saga 3,Turn-Based Tactics,"Jul 26, 2018",82,55,8.0,151,Stoic,Versus Evil
Knockout City,Team Sports,"May 21, 2021",80,26,7.3,66,Velan Studios,Electronic Arts
Labyrinth of Galleria: The Moon Society,JRPG,"Feb 14, 2023",83,8,8.1,8,Nippon Ichi Software,NIS America
Octopath Traveler,JRPG,"Jul 12, 2018",83,87,8.4,1479,Acquire,Nintendo
Triangle Strategy,Turn-Based Tactics,"Mar 4, 2022",83,112,8.1,418,Artdink,Square Enix
Teenage Mutant Ninja Turtles: The Cowabunga Collection,Compilation,"Aug 30, 2022",79,47,7.0,36,Digital Eclipse,Konami
Mega Man Zero / ZX Legacy Collection,Compilation,"Feb 25, 2020",83,27,6.9,103,Access Games,Capcom
OlliOlli: Switch Stance,Compilation,"Feb 14, 2019",83,19,7.3,18,Gambitious,Gambitious
Moonlighter,Action RPG,"May 29, 2018",81,28,7.2,151,Digital Sun,11 bit studios
Cupid Parasite,Visual Novel,"Nov 2, 2021",83,7,6.1,15,Otomate,Idea Factory
GRIS,2D Platformer,"Dec 13, 2018",83,46,8.2,508,Nomada Studio,Devolver Digital
UnderMine,Action Adventure,"Feb 11, 2021",83,9,7.6,15,Thorium Entertainment,Fandom
LIMBO,2D Platformer,"Jul 21, 2010",90,89,8.1,678,PLAYDEAD,PLAYDEAD
Xenoblade Chronicles 2,Action RPG,"Dec 1, 2017",83,97,8.5,2627,Monolith Soft,Nintendo
Advance Wars 1 + 2: Re-Boot Camp,Turn-Based Tactics,"Apr 21, 2023",83,104,8.1,132,WayForward,Nintendo
Record of Lodoss War: Deedlit in Wonder Labyrinth,Metroidvania,"Mar 27, 2021",74,10,7.6,14,WSS Playground,Playism
Dark Souls Remastered,Action RPG,"May 25, 2018",84,56,8.3,2120,QLOC,Bandai Namco Games
Collection of Mana,Compilation,"Jun 11, 2019",83,23,8.1,54,M2,Square Enix
Overcooked! 2: Surf 'n' Turf,Arcade,"Oct 3, 2018",83,8,8.1,9,Ghost Town Games Ltd.,Team17
Chicken Police - Paint it RED!,Visual Novel,"Nov 5, 2020",82,13,7.9,47,The Wild Gentlemen,The Wild Gentlemen
Pokemon Legends: Arceus,Trainer RPG,"Jan 28, 2022",83,125,8.1,4187,Game Freak,Nintendo
Sonic the Hedgehog 2,2D Platformer,"Feb 20, 2020",83,15,8.0,65,M2,Sega
Gorogoa,Puzzle,"Dec 14, 2017",84,37,8.2,191,Buried Signal,Annapurna Interactive
Katana ZERO,2D Platformer,"Apr 17, 2019",83,39,8.5,358,Askiisoft,Devolver Digital
Killer Queen Black,Arcade,"Oct 11, 2019",83,22,8.2,55,Liquid Bit,Liquid Bit
LISA: Definitive Edition,RPG,"Jul 18, 2023",83,8,8.5,17,Dingaling,Serenity Forge
Star Wars: Knights of the Old Republic,Western RPG,"Jul 17, 2003",94,72,8.7,557,BioWare,LucasArts
Splasher,2D Platformer,"Feb 7, 2017",79,7,6.9,21,Splashteam,The Sidekicks
Dynasty Warriors 8: Xtreme Legends - Complete Edition,3D Beat-'Em-Up,"Mar 25, 2014",69,30,8.0,208,Omega Force,Tecmo Koei Games
The Last Campfire,Action Puzzle,"Aug 27, 2020",83,12,7.9,72,Hello Games,Hello Games
Flipping Death,Action Adventure,"Aug 7, 2018",83,12,7.3,31,Zoink!,Zoink!
Worms W.M.D,Artillery,"Aug 23, 2016",75,24,7.5,22,Team17,Team17
Spirit Hunter: Death Mark II,Adventure,"Feb 15, 2024",83,9,6.6,28,Experience Inc.,Aksys Games
Reventure,Open-World Action,"Oct 8, 2019",83,7,7.6,29,Pixelatto,Pixelatto
Code:Realize - Guardian of Rebirth,Visual Novel,"Oct 20, 2015",86,10,8.0,54,Otomate,Aksys Games
The Legend of Nayuta: Boundless Trails,Action RPG,"Sep 19, 2023",75,12,8.4,12,Falcom,NIS America
No Man's Sky,Open-World Action,"Aug 9, 2016",71,100,4.9,5666,Hello Games,Hello Games
The Excavation of Hob's Barrow,Point-and-Click,"Sep 28, 2022",80,19,7.9,20,Cloak and Dagger Games,Wadjet Eye Games
Atelier Mysterious Trilogy Deluxe Pack,Compilation,"Apr 22, 2021",82,14,7.9,12,Gust,Koei Tecmo Games
Islets,Metroidvania,"Aug 24, 2022",82,9,8.1,31,Kyle Thompson,Armor Games
Yoku's Island Express,Pinball,"May 29, 2018",83,30,7.5,51,Villa Gorilla,Villa Gorilla
It Takes Two,Linear Action Adventure,"Mar 26, 2021",88,50,8.9,1464,Hazelight,Electronic Arts
No More Heroes,3D Beat-'Em-Up,"Jan 22, 2008",83,64,8.4,219,Grasshopper Manufacture,Ubisoft
Atelier Ryza 3: Alchemist of the End & the Secret Key,JRPG,"Mar 24, 2023",81,23,8.4,483,Gust,Koei Tecmo Games
Pinball FX3,Pinball,"Dec 12, 2017",82,18,7.8,60,Zen Studios,Zen Studios
Coffee Talk Episode 2: Hibiscus & Butterfly,Visual Novel,"Apr 20, 2023",79,19,7.5,30,Toge Productions,Toge Productions
Flat Heroes,2D Platformer,"Aug 2, 2018",82,13,8.2,21,Parallel Circles,Parallel Circles
Horizon Chase Turbo,Auto Racing,"Nov 28, 2018",82,16,8.2,99,Aquiris Game Studio,Aquiris Game Studio
Espgaluda II -Be Ascension. The Third Bright Stone of Birth-,Vertical Shoot-'Em-Up,"Apr 10, 2010",88,11,tbd,N/A,Cave,Cave
CrossCode,Action RPG,"Jul 9, 2020",82,19,7.9,84,Radical Fish Games,DECK13 Spotlight
Ruiner,Third Person Shooter,"Sep 26, 2017",75,43,7.6,225,Reikon Games,Devolver Digital
F-Zero 99,Future Racing,"Sep 14, 2023",82,9,8.4,80,Nintendo,Nintendo
No More Heroes 2: Desperate Struggle,3D Beat-'Em-Up,"Jan 26, 2010",84,68,8.5,169,Grasshopper Manufacture,Ubisoft
Hotline Miami Collection,Compilation,"Aug 19, 2019",82,22,7.7,47,Abstraction Games,Devolver Digital
Mario + Rabbids: Kingdom Battle - Donkey Kong Adventure,Turn-Based Tactics,"Jun 26, 2018",82,34,8.3,95,Ubisoft Milan,Ubisoft
Tadpole Treble Encore,Rhythm,"Jan 21, 2021",82,15,7.8,6,BitFinity,BitFinity
Valkyria Chronicles 4,Turn-Based Tactics,"Sep 25, 2018",85,50,8.1,231,Sega,Sega
Dreamscaper,Action RPG,"Aug 5, 2021",82,12,6.4,16,Afterburner Studios,Afterburner Studios
Shadowverse: Champion's Battle,Card Battle,"Aug 10, 2021",82,18,8.1,30,Cygames,XSEED Games
Virtua Racing,Auto Racing,"Jun 27, 2019",82,7,8.0,21,M2,Sega
LEGO Star Wars: The Skywalker Saga,Action Adventure,"Apr 5, 2022",82,64,7.9,435,TT Games,Warner Bros. Interactive Entertainment
Bloodstained: Curse of the Moon 2,2D Platformer,"Jul 10, 2020",82,22,8.4,41,Inti Creates,Inti Creates
Super Mario 3D All-Stars,Compilation,"Sep 18, 2020",82,111,6.5,909,Nintendo,Nintendo
Terraria,Sandbox,"Mar 27, 2013",81,39,8.3,482,Engine Software,505 Games
Swords & Soldiers II,Strategy,"May 21, 2015",75,24,8.0,26,Ronimo Games,Ronimo Games
Under Night In-Birth Exe:Late[cl-r],2D Fighting,"Feb 20, 2020",82,10,7.9,29,French-Bread,Aksys Games
Sky: Children of the Light,Open-World Action,"Jul 18, 2019",82,18,7.3,92,ThatGameCompany,ThatGameCompany
Salt and Sanctuary,Metroidvania,"Mar 15, 2016",84,56,8.0,434,Ska Studios,Ska Studios
Vectronom,Action Puzzle,"May 29, 2019",82,12,8.4,7,Ludopium GmbH,ARTE France
Slime-san,Linear Action Adventure,"Jun 8, 2017",82,11,8.1,46,Fabraz,Headup Games
Astalon: Tears of the Earth,Metroidvania,"Jun 3, 2021",82,10,6.0,25,LABS Works,DANGEN Entertainment
Little Nightmares II,Linear Action Adventure,"Feb 11, 2021",82,70,8.5,514,Tarsier Studios,Bandai Namco Games
Horace,Adventure,"Oct 21, 2020",82,22,7.8,47,Paul Helman,505 Games
Devil May Cry 3: Special Edition,Linear Action Adventure,"Feb 20, 2020",82,35,8.5,184,Capcom,Capcom
Borderlands Legendary Collection,Compilation,"May 29, 2020",82,37,8.2,89,Turn Me Up Games,2K Games
Animal Crossing: New Horizons - Happy Home Paradise,Virtual Life,"Nov 5, 2021",82,21,7.8,40,Nintendo,Nintendo
Ib,Adventure,"Mar 9, 2023",82,11,7.8,16,Kouri,Playism
Endling - Extinction is Forever,Action Adventure,"Jul 19, 2022",75,27,8.0,63,Herobeat Studios,HandyGames
NEO: The World Ends with You,Action RPG,"Jul 27, 2021",80,60,8.0,147,h.a.n.d. Inc.,Square Enix
Splatoon 2: Octo Expansion,Third Person Shooter,"Jun 13, 2018",82,34,8.5,270,Nintendo,Nintendo
Bloodstained: Curse of the Moon,2D Platformer,"May 24, 2018",82,11,8.2,176,Inti Creates,Inti Creates
SOLAS 128,Puzzle,"Jan 25, 2021",82,9,tbd,N/A,Amicable Animal,Armor Games
Lunistice,3D Platformer,"Nov 10, 2022",82,9,6.5,20,A Grumpy Fox,Deck 13
Freedom Planet,2D Platformer,"Aug 30, 2018",82,16,8.2,33,GalaxyTrail,XSEED Games
Ys VIII: Lacrimosa of DANA,Action RPG,"Sep 12, 2017",85,40,8.6,334,Falcom,NIS America
Ys Origin,Action RPG,"Oct 1, 2020",82,27,8.0,36,Falcom,DotEmu
Thimbleweed Park,Point-and-Click,"Mar 30, 2017",84,65,8.1,240,Ron Gilbert and Gary Winnick,Terrible Toybox
Pillars of Eternity: Complete Edition,Western RPG,"Aug 29, 2017",85,25,7.1,140,Paradox Arctic,Paradox Interactive
Toki Tori,Action Puzzle,"Jun 2, 2008",79,20,6.4,9,Two Tribes,Two Tribes
Clubhouse Games: 51 Worldwide Classics,Party,"Jun 5, 2020",82,68,7.7,174,Nd Cube,Nintendo
Gnosia,Visual Novel,"Mar 4, 2021",82,41,8.4,56,Petit Depotto,Playism
Shantae: Half-Genie Hero,2D Platformer,"Dec 20, 2016",81,28,7.5,115,WayForward,XSEED Games
Victor Vran: Overkill Edition,Action RPG,"May 30, 2017",76,15,7.2,30,Haemimont Games,Wired Productions
Cyber Shadow,2D Platformer,"Jan 26, 2021",82,19,7.3,66,"Aarne ""MekaSkull"" Hunziker",Yacht Club Games
Unravel Two,2D Platformer,"Jun 9, 2018",77,49,7.7,276,Coldwood Interactive,Electronic Arts
Captain Toad: Treasure Tracker,Action Puzzle,"Dec 5, 2014",81,78,8.6,508,Nintendo EAD Tokyo,Nintendo
Arcade Paradise,Virtual Career,"Aug 11, 2022",73,13,6.4,19,Nosebleed Interactive,Wired Productions
Wandersong,2D Platformer,"Sep 27, 2018",82,20,8.2,51,Greg Lobanov,Humble Games
RIVE,2D Platformer,"Sep 13, 2016",75,19,7.0,23,Two Tribes,Two Tribes
Fuga: Melodies of Steel,RPG,"Jul 29, 2021",84,15,7.9,39,CyberConnect2,CyberConnect2
Azure Striker Gunvolt: Striker Pack,Compilation,"Nov 21, 2017",82,9,8.0,50,Inti Creates,Inti Creates
Final Fantasy VII,JRPG,"Sep 7, 1997",92,20,8.9,2610,SquareSoft,SCEA
Umurangi Generation,First-Person Adventure,"Jun 5, 2021",81,14,7.2,10,ORIGAME DIGITAL,Playism
Dragon Quest Builders,Sandbox,"Oct 11, 2016",83,77,8.0,237,Square Enix,Square Enix
Cytus Alpha,Rhythm,"Apr 25, 2019",81,7,8.2,11,Rayark Inc.,PM Studios Inc.
Disgaea 5: Alliance of Vengeance,Turn-Based Tactics,"Oct 6, 2015",80,43,8.1,222,Nippon Ichi Software,NIS America
Live A Live,JRPG,"Jul 22, 2022",81,103,7.4,119,historia Inc.,Nintendo
The Kids We Were,Adventure,"Dec 2, 2021",81,9,tbd,N/A,"GAGEX Co.,Ltd.","GAGEX Co.,Ltd."
Super One More Jump,2D Platformer,"Jan 25, 2018",81,10,8.4,33,SMG Studio,SMG Studio
Oxenfree,Adventure,"Jan 14, 2016",80,53,7.7,409,Night School Studio,Night School Studio
Tokyo Mirage Sessions #FE Encore,JRPG,"Jan 17, 2020",81,66,6.2,267,Atlus,Nintendo
Teslagrad,2D Platformer,"Dec 13, 2013",77,15,7.8,123,Rain Games,Rain Games
Contra Anniversary Collection,Compilation,"Jun 11, 2019",74,14,6.2,33,M2,Konami
Paradise Killer,Visual Novel,"Sep 4, 2020",81,25,7.4,39,Kaizen Game Works,Fellow Traveller
The Lion's Song,Point-and-Click,"Jul 10, 2018",81,19,7.8,19,Mi'pu'mi Games,Mi'pu'mi Games
Overcooked! 2,Arcade,"Aug 7, 2018",81,40,7.9,194,Ghost Town Games Ltd.,Team17
Cotton Reboot!,Horizontal Shoot-'Em-Up,"Jul 20, 2021",81,11,7.6,10,"Rocket-Engine Co.,Ltd.",ININ Games
Jet Lancer,Vertical Shoot-'Em-Up,"May 12, 2020",81,7,7.5,4,Vladimir Fedyushkin,Armor Games
Aviary Attorney,Visual Novel,"Dec 21, 2015",77,15,7.4,29,Sketchy Logic,Sketchy Logic
Persona 4 Arena Ultimax,2D Fighting,"Sep 30, 2014",84,38,5.3,300,Arc System Works,Atlus
Star Wars: Dark Forces Remaster,FPS,"Feb 28, 2024",79,15,6.3,23,Nightdive Studios,Nightdive Studios
VOEZ,Rhythm,"Mar 9, 2017",81,18,8.0,101,Flyhigh Works,Flyhigh Works
Untitled Goose Game,Action Adventure,"Sep 20, 2019",81,49,7.7,268,22nd Century Toys,Panic Inc.
Shin Megami Tensei: Persona 3 Portable,JRPG,"Jul 5, 2010",89,40,7.7,856,Atlus,Atlus
A Highland Song,Adventure,"Dec 5, 2023",81,20,6.4,5,inkle,inkle
Dodgeball Academia,Individual Sports,"Aug 5, 2021",77,10,8.2,54,Pocket Trap,Humble Games
Wunderling,2D Platformer,"Mar 5, 2020",81,7,8.1,7,Retroid,Retroid
Operencia: The Stolen Sun,Action RPG,"Mar 29, 2019",82,15,7.0,38,Zen Studios,Zen Studios
Everhood,RPG,"Mar 4, 2021",81,15,7.7,40,Foreign Gnomes,Surefire.Games
Fly Together!,Tycoon,"Apr 29, 2021",81,8,tbd,N/A,Northplay ApS,Northplay ApS
SIFU,3D Beat-'Em-Up,"Feb 8, 2022",81,83,8.0,793,Sloclap,Sloclap
R-Type Dimensions,Compilation,"Feb 4, 2009",76,32,7.4,10,Southend Interactive,Tozai Games
Rune Factory 4,Action RPG,"Oct 1, 2013",78,33,8.1,160,Neverland,XSEED Games
WindJammers,Individual Sports,"Aug 29, 2017",76,31,6.8,14,DotEmu,DotEmu
The Legend of Heroes: Trails of Cold Steel IV - The End of Saga,JRPG,"Oct 27, 2020",81,33,8.7,181,Falcom,NIS America
World of Horror,RPG,"Oct 19, 2023",78,22,7.1,21,Panstasz,Ysbryd Games
Torchlight II,Action RPG,"Sep 20, 2012",88,67,8.4,2139,Runic Games,Runic Games
Okinawa Rush,2D Beat-'Em-Up,"Oct 28, 2021",81,9,8.1,8,Storybird,Pixelheart
Venba,Adventure,"Jul 31, 2023",79,19,6.4,71,Visai Games,Visai Games
Dungeon Encounters,JRPG,"Oct 14, 2021",81,14,6.5,19,Cattle Call,Square Enix
Berserk Boy,2D Platformer,"Mar 6, 2024",84,15,7.5,12,BerserkBoy Games,BerserkBoy Games
Going Under,Action Adventure,"Sep 24, 2020",78,11,7.6,25,AggroCrab,Team17
Citizen Sleeper,Western RPG,"May 5, 2022",82,23,7.2,70,Jump Over The Age,Fellow Traveller
Puyo Puyo Tetris,Stacking Puzzle,"Apr 25, 2017",81,55,8.1,225,Sonic Team,Sega
Snufkin: Melody of Moominvalley,Adventure,"Mar 7, 2024",81,17,8.6,16,Hyper Games,Raw Fury
Captain Toad: Treasure Tracker - Special Episode,Action Puzzle,"Mar 14, 2019",81,12,7.8,26,Nintendo Software Technology,Nintendo
The Legend of Zelda: Skyward Sword HD,Open-World Action,"Jul 16, 2021",81,111,7.4,842,Nintendo,Nintendo
Embracelet,Third-Person Adventure,"Sep 24, 2020",81,8,7.6,7,machineboy,machineboy
Castlevania Anniversary Collection,Compilation,"May 16, 2019",81,18,8.5,61,M2,Konami
Monster Hunter Stories 2: Wings of Ruin,JRPG,"Jul 9, 2021",81,90,6.4,239,Capcom,Capcom
Littlewood,Adventure,"Feb 25, 2021",81,12,7.9,27,SmashGames,SmashGames
Hand of Fate 2,Board,"Nov 7, 2017",80,28,7.3,90,Defiant Development,Defiant Development
Penko Park,First-Person Adventure,"Sep 27, 2022",81,15,tbd,N/A,Ghostbutter,Secret Mode
Pocky & Rocky Reshrined,Top-Down Shoot-'Em-Up,"Jun 24, 2022",81,9,7.7,18,Tengo Project,Natsume
Railbound,Action Puzzle,"Dec 1, 2022",81,7,tbd,N/A,Afterburn,7Levels
Fast RMX,Future Racing,"Mar 3, 2017",81,55,7.9,419,Shin'en,Shin'en
Street Fighter: 30th Anniversary Collection,Compilation,"May 29, 2018",81,40,7.7,113,Digital Eclipse,Capcom
Persona 5 Strikers,Action RPG,"Feb 19, 2021",83,77,7.9,594,Omega Force,Sega
Tin Hearts,Action Puzzle,"May 16, 2023",66,9,6.7,11,Rogue Sun,Wired Productions
Rainbow Billy: The Curse of the Leviathan,Action Adventure,"Oct 5, 2021",81,8,6.7,14,ManaVoid Entertainment Inc.,Skybound Games
Gunvolt Chronicles: Luminous Avenger iX,2D Platformer,"Sep 26, 2019",81,10,8.0,30,Inti Creates,Inti Creates
Mini Motorways,Management,"Jul 20, 2021",87,21,7.5,57,Dinosaur Polo Club,Dinosaur Polo Club
Arise: A Simple Story,Third-Person Adventure,"Dec 3, 2019",80,30,7.8,128,Piccolo,Techland
Phoenix Wright: Ace Attorney Trilogy,Compilation,"Dec 9, 2014",81,34,8.6,236,NATSUME ATARI Inc.,Capcom
Nowhere Prophet,Card Battle,"Jul 19, 2019",73,9,6.3,39,Sharkbomb Studios,Sharkbomb Studios
The Darkside Detective,Point-and-Click,"Jul 27, 2017",77,12,8.0,37,Spooky Doorway,Akupara Games
Genesis Noir,Point-and-Click,"Mar 26, 2021",77,22,6.4,43,Feral Cat Den,Fellow Traveller
Winds of Change,Visual Novel,"Jun 3, 2021",81,7,8.7,18,Klace,Crunching Koalas
Ruined King: A League of Legends Story,RPG,"Nov 16, 2021",80,29,7.7,138,Airship Syndicate Entertainment,Riot Forge
SteamWorld Quest: Hand of Gilgamech,Card Battle,"Apr 25, 2019",81,56,7.7,85,Image & Form,Thunderful
Disc Room,Action Puzzle,"Oct 22, 2020",83,31,7.1,27,"Terri, Dose, Kitty, and JW",Devolver Digital
Dawn of the Monsters,2D Beat-'Em-Up,"Mar 15, 2022",81,7,tbd,N/A,13AM Games,WayForward
Songbird Symphony,2D Platformer,"Jul 25, 2019",81,8,7.8,15,Joysteak Studios,PQube
The Mageseeker: A League of Legends Story,Action RPG,"Apr 18, 2023",78,20,7.2,39,Digital Sun,Riot Forge
Ray'z Arcade Chronology,Compilation,"Jun 30, 2023",81,8,tbd,N/A,M2,ININ Games
The Legend of Zelda: Breath of the Wild - The Champion's Ballad,Open-World Action,"Dec 7, 2017",81,23,8.5,371,Nintendo,Nintendo
BoxBoy! + BoxGirl!,Action Puzzle,"Apr 26, 2019",81,45,8.0,42,HAL Labs,Nintendo
Battle Chef Brigade,2D Beat-'Em-Up,"Nov 20, 2017",81,23,8.3,47,Trinket Studios,Adult Swim
AVICII Invector Encore Edition,Rhythm,"Sep 8, 2020",81,11,8.0,8,Wired Productions,Wired Productions
AVICII Invector Encore Edition,Rhythm,"Sep 8, 2020",81,11,8.0,8,Wired Productions,Wired Productions
Catherine: Full Body,Survival,"Sep 3, 2019",81,61,8.2,273,Studio Zero,Atlus
Fire Emblem Warriors: Three Hopes,3D Beat-'Em-Up,"Jun 24, 2022",80,112,8.9,771,Koei Tecmo Games,Nintendo
The Red Strings Club,Visual Novel,"Jan 22, 2018",80,50,7.5,156,Deconstructeam,Devolver Digital
Rogue Legacy,2D Platformer,"Jun 27, 2013",85,43,7.9,729,Cellar Door Games,Cellar Door Games
Fire Emblem Engage,Turn-Based Tactics,"Jan 20, 2023",80,134,6.6,956,Intelligent Systems,Nintendo
Metro Redux,Compilation,"Aug 26, 2014",83,30,8.2,1067,4A Games,Deep Silver
Bayonetta Origins: Cereza and the Lost Demon,Linear Action Adventure,"Mar 17, 2023",80,103,8.6,145,PlatinumGames,Nintendo
Crash Team Racing: Nitro-Fueled,Auto Racing,"Jun 21, 2019",83,76,7.0,855,Beenox,Activision
ABZU,Third-Person Adventure,"Aug 2, 2016",78,73,7.7,610,Giant Squid,505 Games
Atelier Sophie 2: The Alchemist of the Mysterious Dream,JRPG,"Feb 25, 2022",82,26,8.9,107,Gust,Koei Tecmo Games
Children of Morta,Action RPG,"Sep 3, 2019",82,49,8.1,323,Dead Mage,Dead Mage
Vitamin Connection,Action,"Jan 17, 2020",80,10,8.1,12,WayForward,Limited Run Games
Nuclear Blaze,2D Platformer,"Apr 28, 2023",80,8,5.4,5,Deepnight Games,Red Art Games
Promenade,2D Platformer,"Feb 23, 2024",80,12,7.4,10,Holy Cap,Red Art Games
"Snipperclips - Cut it out, together!",Puzzle,"Mar 3, 2017",80,62,8.2,388,SFB Games,Nintendo
Resident Evil 4 HD,Survival,"Sep 20, 2011",84,36,8.2,320,Capcom,Capcom
Pinball FX3: Bethesda Pinball,Pinball,"Apr 4, 2018",80,8,8.3,7,Zen Studios,Zen Studios
Trine 4: The Nightmare Prince,2D Platformer,"Oct 8, 2019",80,40,7.6,73,"Frozenbyte, Inc.",Modus Games
Assassin's Creed: The Rebel Collection,Compilation,"Dec 6, 2019",80,25,8.2,130,Ubisoft,Ubisoft
Freedom Planet 2,2D Platformer,"Apr 4, 2024",81,13,7.5,11,GalaxyTrail,XSEED Games
Azure Striker Gunvolt 3,2D Platformer,"Jul 28, 2022",80,15,8.1,12,Inti Creates,Inti Creates
N++: Ultimate Edition,2D Platformer,"May 24, 2018",80,11,8.2,18,Metanet Software Inc.,Metanet Software Inc.
Fashion Police Squad,FPS,"Feb 2, 2023",80,9,6.9,7,No More Robots,No More Robots
Sakuna: Of Rice and Ruin,Action RPG,"Nov 10, 2020",80,29,8.3,92,Edelweiss,XSEED Games
Crown Trick,Roguelike,"Oct 16, 2020",83,12,7.2,29,NExT Studios,NExT Studios
Megaton Musashi W: Wired,Action RPG,"Apr 25, 2024",80,8,7.9,21,Level 5,Level 5
The Banner Saga,Turn-Based Tactics,"Jan 14, 2014",80,74,8.0,856,Stoic,Versus Evil
Pokemon Sword / Shield Dual Pack,Trainer RPG,"Nov 15, 2019",80,93,4.4,420,Game Freak,Nintendo
New Super Mario Bros. U Deluxe,2D Platformer,"Jan 11, 2019",80,76,7.0,473,Nintendo,Nintendo
Xenoblade Chronicles 2: Torna ~ The Golden Country,Action RPG,"Sep 14, 2018",80,41,8.5,482,Monolith Soft,Nintendo
South Park: The Fractured But Whole,RPG,"Oct 17, 2017",79,75,7.8,666,Ubisoft San Francisco,Ubisoft
Final Fantasy VIII Remastered,JRPG,"Sep 3, 2019",80,35,7.3,202,Square Enix,Square Enix
Boomerang X,FPS,"Jul 8, 2021",81,25,6.8,22,DANG!,DANG!
OkunoKA,2D Platformer,"Nov 30, 2018",80,7,8.2,16,Caracal Games,Caracal Games
The Banner Saga 2,Turn-Based Tactics,"Apr 19, 2016",82,63,8.3,222,Stoic,Versus Evil
Pokemon Shield,Trainer RPG,"Nov 15, 2019",80,96,4.7,3589,Game Freak,Nintendo
Thunder Spirits,Horizontal Shoot-'Em-Up,"May 28, 2020",80,11,tbd,N/A,M2,Sega
Zombie Army 4: Dead War,Third Person Shooter,"Feb 4, 2020",72,60,6.4,169,Rebellion,Rebellion
The End Is Nigh,2D Platformer,"Jul 12, 2017",84,17,7.5,77,Edmund McMillen,Tyler Glaiel 
Ironcast,Matching Puzzle,"Aug 10, 2017",80,14,7.8,23,Dreadbit,Ripstone
Saviors of Sapphire Wings & Stranger of Sword City Revisited,Compilation,"Mar 16, 2021",80,14,7.3,7,Experience Inc.,NIS America
DOOM Eternal,FPS,"Mar 20, 2020",88,68,8.8,6092,id Software,Bethesda Softworks
Mega Man X Legacy Collection 1 + 2,Compilation,"Jul 24, 2018",80,20,7.7,99,Capcom,Capcom
Monster Hunter Generations Ultimate,Action RPG,"Aug 28, 2018",80,53,8.4,200,Capcom,Capcom
Blazing Beaks,Top-Down Shoot-'Em-Up,"May 10, 2019",80,9,7.7,40,Applava,QubicGames
Resident Evil HD Remaster,Survival,"Jan 20, 2015",83,49,8.6,1189,Capcom,Capcom
Mega Man 11,2D Platformer,"Oct 2, 2018",82,55,7.4,218,Capcom,Capcom
Alba: a Wildlife Adventure,Adventure,"Dec 11, 2020",79,13,8.1,58,ustwo,ustwo
Blazing Beaks,Top-Down Shoot-'Em-Up,"May 10, 2019",80,9,7.7,40,Applava,QubicGames
Resident Evil HD Remaster,Survival,"Jan 20, 2015",83,49,8.6,1189,Capcom,Capcom
Mega Man 11,2D Platformer,"Oct 2, 2018",82,55,7.4,218,Capcom,Capcom
A Little Golf Journey,Golf,"Oct 14, 2021",80,12,7.5,4,Okidokico,Playtonic Friends
Gerda: A Flame in Winter,Third-Person Adventure,"Sep 1, 2022",84,10,8.1,15,PortaPlay,DONTNOD Entertainment
Ni no Kuni II: Revenant Kingdom - Prince's Edition,JRPG,"Sep 17, 2021",80,39,7.7,39,Level 5,Bandai Namco Games
This War of Mine: Complete Edition,Board,"Nov 27, 2018",80,15,8.3,58,11 bit studios,11 bit studios
Puyo Puyo Tetris 2,Matching Puzzle,"Dec 8, 2020",80,27,7.9,38,Sega,Sega
Rogue Aces,Horizontal Shoot-'Em-Up,"Apr 12, 2018",80,12,7.6,18,Infinite State Games,Curve Digital
Blaster Master Zero III,Action Adventure,"Jul 29, 2021",80,10,8.2,12,Inti Creates,Inti Creates
Pokemon Sword,Trainer RPG,"Nov 15, 2019",80,94,4.7,6128,Game Freak,Nintendo
Capcom Arcade Stadium,Compilation,"Feb 17, 2021",80,34,7.2,28,Capcom,Capcom
Fuser,Rhythm,"Nov 10, 2020",81,29,7.2,14,Harmonix Music Systems,NCSOFT
Olympia Soiree,Visual Novel,"Sep 9, 2021",80,10,8.4,5,Otomate,Aksys Games
Faeria,Card Battle,"Aug 13, 2020",80,11,6.6,20,Abrakam SA,Versus Evil
Blossom Tales: The Sleeping King,Open-World Action,"Dec 21, 2017",80,16,7.9,94,"Castle Pixel, LLC.",FDG Entertainment
Atelier Ryza 2: Lost Legends & the Secret Fairy,JRPG,"Jan 26, 2021",81,29,8.8,123,Gust,Koei Tecmo Games
Telling Lies,Visual Novel,"Aug 23, 2019",84,40,5.8,88,Sam Barlow,Annapurna Interactive
"Pokemon: Let's Go, Eevee!",Trainer RPG,"Nov 16, 2018",80,86,6.4,1163,Game Freak,Nintendo
Crash Bandicoot 4: It's About Time,3D Platformer,"Oct 2, 2020",85,100,8.0,997,Toys for Bob,Activision
Alwa's Legacy,Metroidvania,"Sep 29, 2020",80,15,8.2,13,Elden Pixels,Elden Pixels
Aaero: Complete Edition,Rail Shooter,"Dec 24, 2018",80,7,8.0,7,Mad Fellows Ltd,Mad Fellows Ltd
Mario Party Superstars,Party,"Oct 29, 2021",80,97,8.0,357,Nd Cube,Nintendo
Skullgirls: 2nd Encore,2D Fighting,"Jul 7, 2015",82,18,5.5,89,Lab Zero Games,Autumn Games
Armello,Board,"Jan 22, 2015",75,26,7.1,89,League of Geeks,League of Geeks
Heave Ho,Party,"Aug 29, 2019",80,14,8.2,20,Le Cartel Studio,Devolver Digital
